               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072887,            0.023918,            0.027272,             0.45203,             0.79703,             0.63864,              0.4046,            0.027615,           0.0049714,            0.011682,            0.070213,           0.0033097,           0.0033097
                   1,            0.046439,            0.014667,            0.016962,             0.58718,             0.88583,             0.76013,             0.58919,            0.028041,           0.0032304,           0.0085755,            0.040169,           0.0065992,           0.0065992
                   2,            0.042962,            0.012442,            0.014253,             0.57019,             0.78978,             0.69994,             0.47735,            0.029041,           0.0031826,           0.0077914,            0.010081,           0.0098447,           0.0098447
                   3,            0.039094,            0.011295,            0.012318,             0.69334,             0.97704,             0.78525,             0.56023,            0.024517,            0.003662,           0.0050522,            0.009802,            0.009802,            0.009802
                   4,            0.033978,            0.010723,            0.011942,              0.8608,             0.84314,             0.92339,             0.75309,            0.022455,           0.0036264,           0.0044098,            0.009802,            0.009802,            0.009802
                   5,            0.032399,            0.009886,             0.01088,             0.67212,              0.8637,             0.84046,             0.71504,            0.017202,           0.0029724,           0.0098975,            0.009736,            0.009736,            0.009736
                   6,            0.029963,           0.0096449,             0.01043,             0.82679,             0.85542,             0.89091,             0.79053,            0.015314,           0.0027564,           0.0055774,             0.00967,             0.00967,             0.00967
                   7,            0.029194,           0.0096172,            0.010541,              0.8203,             0.89167,              0.9284,             0.79916,            0.015378,           0.0032506,           0.0053343,            0.009604,            0.009604,            0.009604
                   8,            0.028623,           0.0095931,           0.0093535,             0.69836,             0.88238,             0.86227,             0.74579,             0.01558,           0.0033225,           0.0071344,            0.009538,            0.009538,            0.009538
                   9,            0.027776,           0.0091948,            0.008924,             0.93212,             0.96461,             0.98302,             0.81617,            0.015654,           0.0031668,           0.0020782,            0.009472,            0.009472,            0.009472
