               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10846,              0.0205,            0.063371,           0.0025512,             0.72005,            0.013489,           0.0042336,            0.045928,            0.009821,            0.045227,              0.0856,              0.0016,              0.0016
                   1,            0.073027,            0.025097,            0.061588,             0.45518,             0.12398,             0.12583,            0.053691,            0.031363,           0.0089567,            0.040991,            0.070284,           0.0032837,           0.0032837
                   2,            0.055511,            0.024092,             0.05461,            0.085648,             0.48421,             0.16591,            0.070462,            0.033742,           0.0072938,            0.040308,             0.05495,           0.0049505,           0.0049505
                   3,            0.052407,            0.020413,            0.054345,             0.13013,             0.47868,             0.19092,            0.068516,            0.030789,           0.0061538,            0.038293,            0.039601,           0.0066005,           0.0066005
                   4,            0.047757,            0.017971,            0.054271,             0.27266,             0.28455,              0.1528,            0.060574,            0.038003,           0.0068361,            0.038184,            0.024234,           0.0082337,           0.0082337
                   5,            0.045377,            0.016324,            0.048552,             0.13537,             0.43811,             0.17413,            0.047354,            0.039109,           0.0070134,            0.032239,           0.0097525,           0.0097525,           0.0097525
                   6,            0.044907,            0.015786,            0.047964,             0.15264,             0.39736,             0.19884,              0.0771,            0.033401,           0.0064694,            0.031409,           0.0097525,           0.0097525,           0.0097525
                   7,            0.044519,            0.015089,             0.04448,              0.5913,             0.30368,             0.24963,              0.0771,            0.033397,           0.0062776,            0.030774,            0.009703,            0.009703,            0.009703
                   8,            0.039826,            0.014666,            0.045515,             0.59641,             0.17751,              0.1331,            0.050111,            0.033769,           0.0091336,            0.041663,           0.0096535,           0.0096535,           0.0096535
                   9,            0.040786,            0.015015,            0.041271,             0.25972,             0.64061,             0.33197,             0.11394,            0.028338,           0.0061938,            0.033484,            0.009604,            0.009604,            0.009604
                  10,            0.037107,            0.014409,            0.042064,             0.22139,             0.55041,             0.25893,            0.078336,             0.03288,           0.0067249,            0.028308,           0.0095545,           0.0095545,           0.0095545
                  11,            0.035968,            0.013433,            0.041098,             0.28574,             0.74551,             0.36526,              0.1308,            0.034408,           0.0056361,            0.028027,            0.009505,            0.009505,            0.009505
                  12,            0.037375,            0.013403,            0.038083,             0.24464,             0.64684,             0.36159,            0.084032,            0.030859,           0.0092883,            0.026501,           0.0094555,           0.0094555,           0.0094555
                  13,            0.035324,            0.013678,            0.039165,             0.32643,             0.79125,             0.46243,             0.20431,            0.023431,           0.0053404,            0.025439,            0.009406,            0.009406,            0.009406
                  14,            0.035585,            0.013606,            0.039586,             0.37735,             0.92361,             0.50317,             0.28857,            0.020608,           0.0047018,            0.024249,           0.0093565,           0.0093565,           0.0093565
                  15,            0.031887,            0.012419,            0.035291,             0.26993,             0.53439,             0.29905,             0.10278,            0.031659,           0.0057909,            0.030347,            0.009307,            0.009307,            0.009307
