               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11082,            0.029758,            0.042337,           0.0020193,             0.60504,            0.018945,           0.0096871,            0.083567,            0.014477,            0.043231,              0.0865,              0.0015,              0.0015
                   1,            0.078348,            0.026545,            0.031566,             0.26184,             0.38055,             0.36306,             0.22459,            0.049542,           0.0065622,            0.025124,             0.07209,           0.0030898,           0.0030898
                   2,            0.056735,            0.021143,            0.024485,             0.35017,             0.82073,             0.45692,             0.23611,            0.044398,           0.0041289,            0.021237,            0.057669,            0.004669,            0.004669
                   3,             0.05052,             0.01755,            0.022127,             0.30822,             0.62185,             0.40345,             0.26562,            0.042921,           0.0029325,            0.017832,            0.043238,           0.0062376,           0.0062376
                   4,            0.048051,            0.015334,            0.021536,             0.43928,             0.64566,             0.55846,             0.39333,             0.04078,           0.0029483,            0.018846,            0.028796,           0.0077957,           0.0077957
                   5,            0.043672,            0.014444,            0.019177,             0.45881,             0.76471,              0.5437,             0.35405,            0.047306,           0.0043967,            0.013512,            0.014343,           0.0093433,           0.0093433
                   6,            0.043551,            0.013413,            0.017797,               0.522,             0.67725,             0.63212,             0.44219,            0.046036,           0.0038619,            0.012826,            0.009802,            0.009802,            0.009802
                   7,            0.041865,            0.012749,            0.016049,               0.766,             0.58964,             0.65255,             0.37572,             0.04784,            0.003686,            0.014398,            0.009802,            0.009802,            0.009802
                   8,            0.037509,            0.012593,            0.016312,             0.42683,              0.4986,             0.52613,             0.26787,            0.036842,           0.0041702,           0.0095269,            0.009769,            0.009769,            0.009769
                   9,            0.036956,            0.012426,            0.014042,             0.56492,              0.7563,             0.65424,             0.41582,            0.037896,           0.0030937,             0.01121,            0.009736,            0.009736,            0.009736
                  10,            0.036887,            0.012686,            0.014745,              0.5179,             0.82496,             0.66482,             0.44178,            0.037314,           0.0030034,            0.016198,            0.009703,            0.009703,            0.009703
                  11,            0.033968,             0.01174,            0.014258,             0.63497,             0.82545,             0.75619,             0.48397,            0.032899,           0.0034592,           0.0080222,             0.00967,             0.00967,             0.00967
                  12,            0.034824,            0.011982,            0.013944,             0.56717,             0.81752,              0.6045,             0.44853,            0.029566,           0.0039041,             0.02399,            0.009637,            0.009637,            0.009637
                  13,            0.033368,            0.011856,            0.013375,             0.57464,              0.7218,             0.67045,             0.49797,            0.029408,           0.0045348,            0.018622,            0.009604,            0.009604,            0.009604
                  14,            0.031532,            0.011927,            0.012394,             0.81266,             0.84234,             0.90563,             0.68931,            0.025834,           0.0037973,           0.0059532,            0.009571,            0.009571,            0.009571
