               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.020255,            0.010301,            0.033026,              0.4116,             0.80248,             0.61336,             0.23507,            0.023024,           0.0051212,            0.019995,            0.002872,            0.002872,            0.002872
                  38,            0.019971,           0.0099584,            0.031151,             0.38969,             0.63149,             0.51226,             0.21669,            0.022525,            0.004678,            0.029437,            0.002674,            0.002674,            0.002674
                  39,             0.02051,           0.0095335,            0.032057,             0.38937,             0.73551,              0.5785,             0.20926,            0.023586,           0.0048956,             0.02793,            0.002476,            0.002476,            0.002476
                  40,            0.018363,            0.009704,            0.029384,             0.51895,             0.88079,             0.65231,              0.3278,            0.018615,            0.004709,             0.01907,            0.002278,            0.002278,            0.002278
                  41,            0.019798,           0.0095859,            0.028828,             0.48991,             0.93963,             0.64194,             0.26332,            0.022211,           0.0045587,            0.020468,             0.00208,             0.00208,             0.00208
                  42,            0.021176,           0.0094649,            0.029965,             0.45402,             0.88215,             0.66151,             0.25561,            0.022527,           0.0048795,            0.020135,            0.001882,            0.001882,            0.001882
                  43,            0.018922,           0.0093935,            0.031473,             0.49576,             0.81739,              0.6554,             0.29729,            0.022364,           0.0048843,            0.019243,            0.001684,            0.001684,            0.001684
                  44,            0.018364,           0.0093149,            0.028769,             0.44624,             0.84744,             0.65401,              0.2607,             0.02294,            0.004792,            0.020578,            0.001486,            0.001486,            0.001486
                  45,            0.018598,           0.0090097,            0.028404,             0.49533,             0.79873,             0.61486,             0.26672,            0.025271,           0.0049294,            0.019594,            0.001288,            0.001288,            0.001288
                  46,            0.018503,           0.0093819,            0.028502,             0.40555,             0.72959,             0.55197,             0.25161,            0.022623,           0.0046546,            0.026611,             0.00109,             0.00109,             0.00109
                  47,            0.019121,           0.0093577,            0.029227,             0.51118,             0.86274,             0.66408,             0.34117,            0.020389,           0.0047368,            0.019743,            0.000892,            0.000892,            0.000892
                  48,             0.01822,           0.0089969,            0.027184,             0.39943,             0.57433,             0.52014,             0.22992,             0.02163,           0.0044955,            0.027686,            0.000694,            0.000694,            0.000694
                  49,            0.018369,           0.0089185,            0.030427,             0.51072,              0.8761,             0.67342,             0.32009,             0.02204,           0.0045648,             0.01949,            0.000496,            0.000496,            0.000496
