               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10846,              0.0205,            0.063371,           0.0025512,             0.72005,            0.013489,           0.0042336,            0.045928,            0.009821,            0.045227,              0.0856,              0.0016,              0.0016
                   1,            0.073116,            0.025111,            0.061634,             0.65696,             0.16506,             0.12575,            0.048113,            0.031258,           0.0093541,            0.040356,            0.070267,           0.0032673,           0.0032673
                   2,            0.055155,            0.024309,            0.054823,             0.21154,             0.53562,             0.16965,            0.066819,            0.031747,           0.0086122,            0.038733,            0.054901,            0.004901,            0.004901
                   3,            0.052758,            0.020768,            0.054455,             0.19081,             0.42607,             0.15945,            0.052138,            0.031856,            0.005994,            0.037024,            0.039501,            0.006501,            0.006501
                   4,            0.048232,            0.018566,            0.053625,             0.14809,             0.42528,             0.18647,            0.064366,            0.036857,           0.0055517,            0.036694,            0.024067,           0.0080674,           0.0080674
                   5,            0.046248,            0.016936,            0.048111,             0.11761,              0.5197,             0.22493,             0.10126,            0.037013,           0.0065113,            0.033228,            0.009505,            0.009505,            0.009505
                   6,            0.045781,            0.016319,            0.047283,             0.50056,             0.27166,             0.19883,            0.059283,            0.029783,           0.0085759,            0.029663,            0.009505,            0.009505,            0.009505
                   7,            0.044183,            0.015768,            0.045035,           0.0063139,              0.2927,            0.012231,           0.0050887,            0.054558,            0.011688,            0.049561,            0.009406,            0.009406,            0.009406
                   8,            0.041173,            0.014878,            0.043864,             0.60688,             0.32836,             0.16802,            0.056577,            0.030309,            0.010341,            0.053357,            0.009307,            0.009307,            0.009307
                   9,             0.04168,            0.015284,            0.044663,            0.054224,             0.12204,            0.072467,            0.027621,            0.050828,           0.0093616,            0.049878,            0.009208,            0.009208,            0.009208
                  10,            0.038939,            0.014807,            0.045753,             0.21721,             0.55128,             0.33656,             0.14174,            0.023422,           0.0072946,             0.03385,            0.009109,            0.009109,            0.009109
                  11,            0.037352,            0.013918,             0.04255,             0.24133,             0.44059,             0.18471,            0.048256,            0.035192,           0.0073591,            0.040039,             0.00901,             0.00901,             0.00901
                  12,             0.03636,            0.013547,            0.039089,             0.14907,             0.24657,              0.2281,            0.086933,            0.035423,           0.0071866,            0.030774,            0.008911,            0.008911,            0.008911
                  13,            0.033521,            0.013567,            0.038617,             0.53693,             0.52279,             0.43362,             0.14951,            0.026701,           0.0053291,            0.029663,            0.008812,            0.008812,            0.008812
                  14,            0.034239,            0.013693,            0.040193,             0.65968,              0.4678,             0.52816,             0.23321,            0.024216,           0.0048238,            0.032043,            0.008713,            0.008713,            0.008713
                  15,             0.03335,            0.012648,            0.035717,             0.28483,              0.7975,             0.37795,            0.094687,            0.031367,           0.0054202,            0.022919,            0.008614,            0.008614,            0.008614
                  16,            0.032996,            0.012869,            0.037027,             0.35172,             0.73861,             0.55078,             0.22367,            0.023291,            0.004956,            0.022339,            0.008515,            0.008515,            0.008515
                  17,            0.031987,            0.012452,            0.036583,             0.33649,             0.70907,             0.49818,             0.18757,            0.024036,           0.0051526,            0.024622,            0.008416,            0.008416,            0.008416
                  18,            0.031443,            0.012688,            0.036127,             0.31497,             0.63341,              0.3375,             0.15215,            0.024988,           0.0045893,            0.035535,            0.008317,            0.008317,            0.008317
                  19,             0.03202,            0.012429,            0.038178,             0.34263,             0.82113,             0.50071,             0.20289,            0.026892,           0.0060125,            0.024573,            0.008218,            0.008218,            0.008218
                  20,            0.031035,            0.012272,            0.037582,             0.53632,             0.62403,              0.5639,             0.24423,            0.022392,           0.0052695,            0.025549,            0.008119,            0.008119,            0.008119
                  21,            0.029531,            0.012157,            0.035959,             0.35323,             0.86651,             0.52666,             0.22427,            0.024147,           0.0055266,             0.02196,             0.00802,             0.00802,             0.00802
                  22,            0.030292,            0.011793,            0.036644,              0.5029,             0.76813,             0.58513,              0.3116,            0.021919,           0.0044628,            0.021814,            0.007921,            0.007921,            0.007921
                  23,            0.030544,            0.011946,            0.035179,             0.41141,             0.90835,             0.59074,             0.28018,            0.022755,           0.0047118,            0.021246,            0.007822,            0.007822,            0.007822
                  24,            0.027709,            0.011413,            0.035902,              0.8158,             0.37427,              0.4223,              0.2433,            0.021451,           0.0040611,            0.035925,            0.007723,            0.007723,            0.007723
                  25,            0.028285,             0.01119,            0.034757,               0.374,              0.7855,              0.5239,             0.19205,            0.028448,            0.005035,            0.022845,            0.007624,            0.007624,            0.007624
                  26,            0.028472,            0.011456,            0.036259,             0.39272,             0.96759,             0.61023,             0.29264,            0.022214,           0.0044145,            0.020453,            0.007525,            0.007525,            0.007525
                  27,            0.027479,            0.011143,            0.035018,              0.3656,              0.6793,             0.52199,             0.27244,            0.020148,           0.0045732,            0.026062,            0.007426,            0.007426,            0.007426
                  28,            0.025673,            0.011349,            0.034654,             0.46163,             0.93764,              0.5916,             0.21316,            0.024564,           0.0045007,            0.022656,            0.007327,            0.007327,            0.007327
                  29,            0.026912,            0.011433,            0.033528,             0.33818,             0.53408,             0.54439,             0.26512,            0.019741,           0.0052356,            0.033337,            0.007228,            0.007228,            0.007228
                  30,            0.028066,            0.011422,            0.035503,             0.34902,             0.65495,             0.50487,             0.17607,            0.026318,           0.0051123,            0.030811,            0.007129,            0.007129,            0.007129
                  31,             0.02644,            0.010957,            0.033634,             0.41524,             0.77258,             0.55567,             0.15828,            0.030005,            0.004873,            0.020386,             0.00703,             0.00703,             0.00703
                  32,            0.028265,            0.010733,            0.035617,             0.33292,             0.54333,             0.40243,             0.11682,            0.031429,           0.0052622,            0.033899,            0.006931,            0.006931,            0.006931
                  33,            0.027003,            0.010687,            0.033302,              0.4048,             0.80121,             0.58301,             0.24186,            0.020824,           0.0047102,            0.025873,            0.006832,            0.006832,            0.006832
                  34,            0.025524,            0.010748,            0.034715,             0.47844,             0.71355,             0.66113,             0.25499,            0.022634,           0.0053315,            0.018689,            0.006733,            0.006733,            0.006733
